"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"NV","General_Population",0.982951528915449,0.983809618434067,0.983449477351916,0.98371619656877,0.000858089518617766,0.000872972362700786,0.000266719216854061,8.12657252888319,2.52335728952772,3895,3896
"NV","Older_American",0.982057457018502,0.984372842231134,0.987096774193548,0.978835978835979,0.00231538521263208,0.00235768813330073,-0.00826079535756952,8.12657252888319,2.52335728952772,3895,3896
"NV","Servicemember",0.980765282701651,0.981338139857078,0.972972972972973,0.988805970149254,0.000572857155426876,0.000584091999921599,0.0158329971762807,8.12657252888319,2.52335728952772,3895,3896
"WA","General_Population",0.980633898686803,0.981771064899993,0.977584960231381,0.977981029810298,0.00113716621319049,0.00115962360133914,0.000396069578917024,8.41113490364027,1.8308868501529,3269,3270
"WA","Older_American",0.979531387191117,0.98259095845956,0.98936170212766,0.993589743589744,0.0030595712684437,0.00312350508462744,0.00422804146208411,8.41113490364027,1.8308868501529,3269,3270
"WA","Servicemember",0.978180581164365,0.978939832537748,0.974603174603175,0.962962962962963,0.000759251373383507,0.000776187329827982,-0.0116402116402116,8.41113490364027,1.8308868501529,3269,3270
"KY","General_Population",0.985251906192675,0.985989714805061,0.987730061349693,0.985727029438002,0.000737808612385593,0.000748852763184926,-0.00200303191169149,7.49654112221369,1.94081475787856,1301,1301
"KY","Older_American",0.98462706785159,0.986599642389764,0.914285714285714,0.957894736842105,0.00197257453817468,0.0020033722437458,0.043609022556391,7.49654112221369,1.94081475787856,1301,1301
"KY","Servicemember",0.983315681349928,0.983809675028667,0.984,0.952941176470588,0.000493993678739257,0.00050237547118237,-0.0310588235294118,7.49654112221369,1.94081475787856,1301,1301
"IA","General_Population",0.982389468843689,0.983319692150523,0.987676056338028,0.971014492753623,0.000930223306833566,0.000946898695818099,-0.016661563584405,7.86470588235294,1.97352941176471,680,680
"IA","Older_American",0.981541141495834,0.984035906591304,0.951219512195122,0.909090909090909,0.00249476509547009,0.00254168163717328,-0.0421286031042128,7.86470588235294,1.97352941176471,680,680
"IA","Servicemember",0.98011284746698,0.980734701727015,0.985915492957746,1,0.000621854260034804,0.000634472103535844,0.0140845070422535,7.86470588235294,1.97352941176471,680,680
"WI","General_Population",0.985874581834294,0.986761189722404,0.993257261410788,0.980737479361585,0.000886607888109125,0.00089931103250418,-0.0125197820492032,9.11295843520783,2.10068426197459,2045,2046
"WI","Older_American",0.984902851797491,0.98730653413101,1,1,0.00240368233351818,0.00244052733640809,0,9.11295843520783,2.10068426197459,2045,2046
"WI","Servicemember",0.984116912178715,0.984708654926286,1,0.958762886597938,0.0005917427475709,0.0006012931393089,-0.0412371134020619,9.11295843520783,2.10068426197459,2045,2046
